hotelId,Hotel,Latitude,Longitude,Budget,Nearby,Area Code,Group Type
1,The Oberoi Grand,22.5655,88.351,High,Sealdah Railway Station/ Esplanade Bus Stand,1,Solo/Family/Friends/Couple
2,The Lindsay,22.55913,88.35319,Mid,Sealdah Railway Station/ Esplanade Bus Stand,1,Solo/Family/Friends/Couple
3,Hotel Pawan Putra,22.56867944,88.39123112,Low,Sealdah Railway Station/ Esplanade Bus Stand,1,Solo/Family/Friends/Couple
4,Hyatt Regency Kolkata,22.5435,88.3342,High,Dumdum Airport,2,Solo/Family/Friends/Couple
5,Hotel Gateway Continental,22.6037,88.4145,Mid,Dumdum Airport,2,Solo/Family/Friends/Couple
6,Oyo Hotel O Air Sky,22.63439,88.43487,Low,Dumdum Airport,2,Solo/Family/Friends/Couple
7,Taj Bengal Kolkata,22.53768,88.33427,High,Howrah Railway Station,3,Solo/Family/Friends/Couple
8,Noxx Residency,22.5799,88.3045,Mid,Howrah Railway Station,3,Solo/Family/Friends/Couple
9,Oyo Hotel Ashok,22.5877,88.3406,Low,Howrah Railway Station,3,Solo/Family/Friends/Couple
